"ID","Status","additionalInfo"
"client-data-schema","null","not testable with Assertion Tester"
"client-data-schema-accept-extras","null","not testable with Assertion Tester"
"client-data-schema-no-extras","null","not testable with Assertion Tester"
"client-uri-template","null","not testable with Assertion Tester"
"server-data-schema","null","not testable with Assertion Tester"
"server-data-schema-extras","null","not testable with Assertion Tester"
"server-uri-template","null","not testable with Assertion Tester"
"td-action-arrays","not-impl","Error message can be seen in the children assertions"
"td-action-arrays_forms","not-impl","data should have required property 'actions'"
"td-action-arrays_scopes","not-impl","data should have required property 'actions'"
"td-action-arrays_security","not-impl","data should have required property 'actions'"
"td-action-names","not-impl","Error message can be seen in the children assertions"
"td-action-names_description","not-impl","data should have required property 'actions'"
"td-action-names_descriptions","not-impl","data should have required property 'actions'"
"td-action-names_forms","not-impl","data should have required property 'actions'"
"td-action-names_idempotent","not-impl","data should have required property 'actions'"
"td-action-names_output","not-impl","data should have required property 'actions'"
"td-action-names_output","not-impl","data should have required property 'actions'"
"td-action-names_safe","not-impl","data should have required property 'actions'"
"td-action-names_scopes","not-impl","data should have required property 'actions'"
"td-action-names_security","not-impl","data should have required property 'actions'"
"td-action-names_title","not-impl","data should have required property 'actions'"
"td-action-names_titles","not-impl","data should have required property 'actions'"
"td-action-names_uriVariables","not-impl","data should have required property 'actions'"
"td-action-objects","not-impl","Error message can be seen in the children assertions"
"td-action-objects_input","not-impl","data should have required property 'actions'"
"td-action-objects_output","not-impl","data should have required property 'actions'"
"td-actions","not-impl","Error message can be seen in the children assertions"
"td-actions_existence","not-impl","data should have required property 'actions'"
"td-actions_uniqueness","pass",
"td-additional-contexts","pass",
"td-arrays","not-impl","Error message can be seen in the children assertions"
"td-arrays_forms","pass",
"td-arrays_links","not-impl","data should have required property 'links'"
"td-arrays_scopes","not-impl",
"td-arrays_security","pass",
"td-at-type","pass",
"td-content-type-default","null","not testable with Assertion Tester"
"td-context","pass",
"td-context-toplevel","pass",
"td-data-schema","not-impl","Error message can be seen in the children assertions"
"td-data-schema-arrays","not-impl","Error message can be seen in the children assertions"
"td-data-schema-arrays_enum","not-impl",
"td-data-schema-arrays_oneOf","not-impl",
"td-data-schema-arrays_required","not-impl",
"td-data-schema-objects","null","not testable with Assertion Tester"
"td-data-schema_const","not-impl",
"td-data-schema_description","not-impl",
"td-data-schema_description","not-impl",
"td-data-schema_descriptions","not-impl",
"td-data-schema_enum","not-impl",
"td-data-schema_items","not-impl",
"td-data-schema_maxItems","not-impl",
"td-data-schema_maximum1","not-impl",
"td-data-schema_maximum2","not-impl",
"td-data-schema_minItems","not-impl",
"td-data-schema_minimum1","not-impl",
"td-data-schema_minimum2","not-impl",
"td-data-schema_oneOf","not-impl",
"td-data-schema_properties","pass",
"td-data-schema_readOnly","not-impl",
"td-data-schema_required","not-impl",
"td-data-schema_title","pass",
"td-data-schema_titles","not-impl",
"td-data-schema_type","pass",
"td-data-schema_unit","not-impl",
"td-data-schema_writeOnly","not-impl",
"td-event-arrays","not-impl","data should have required property 'events'"
"td-event-arrays","not-impl","Error message can be seen in the children assertions"
"td-event-arrays_forms","not-impl","data should have required property 'events'"
"td-event-arrays_scopes","not-impl","data should have required property 'events'"
"td-event-arrays_security","not-impl","data should have required property 'events'"
"td-event-names","not-impl","data should have required property 'events'"
"td-event-names","not-impl","Error message can be seen in the children assertions"
