"ID","Status","Comment"
"client-data-schema","null",
"client-data-schema-accept-extras","null",
"client-data-schema-no-extras","null",
"client-uri-template","null",
"server-data-schema","null",
"server-data-schema-extras","null",
"server-uri-template","null",
"td-actions","pass",
"td-actions_uniqueness","pass",
"td-arrays","fail",
"td-arrays_security","fail",
"td-content-type-default","null",
"td-context-toplevel","fail",
"td-data-schema-objects","null",
"td-default-alg","null",
"td-default-contentType","null",
"td-default-flow","null",
"td-default-format","null",
"td-default-idempotent","null",
"td-default-in-1","null",
"td-default-in-2","null",
"td-default-observable","null",
"td-default-qop","null",
"td-default-readOnly","null",
"td-default-safe","null",
"td-default-writeOnly","null",
"td-events","not-impl",
"td-events_uniqueness","not-impl",
"td-form-protocolbindings","null",
"td-media-type","null",
"td-objects","fail",
"td-objects_securityDefinitions","fail",
"td-properties","pass",
"td-properties_uniqueness","pass",
"td-readOnly-observable-default","null",
"td-readOnly-observable-writeOnly-default","null",
"td-security-binding","null",
"td-security-mandatory","fail",
"td-security-no-extras","null",
"td-security-schemes","fail",
"td-security-schemes_scheme","fail",
"td-unique-identifiers","pass",
"td-vocab-id--Thing","fail",
"td-vocab-name--Thing","fail",
"td-vocab-scheme--SecurityScheme","fail",
"td-vocab-security--Thing","fail",
"td-vocab-securityDefinitions--Thing","fail",
"td-vocabulary","fail",
