"ID","Status","additionalInfo"
"client-data-schema","null","not testable with Assertion Tester"
"client-data-schema-accept-extras","null","not testable with Assertion Tester"
"client-data-schema-no-extras","null","not testable with Assertion Tester"
"client-uri-template","null","not testable with Assertion Tester"
"server-data-schema","null","not testable with Assertion Tester"
"server-data-schema-extras","null","not testable with Assertion Tester"
"server-uri-template","null","not testable with Assertion Tester"
"td-actions","pass",
"td-actions_uniqueness","pass",
"td-arrays","fail","Error message can be seen in the children assertions"
"td-arrays_security","fail",
"td-content-type-default","null","not testable with Assertion Tester"
"td-context-toplevel","fail",
"td-data-schema-objects","null","not testable with Assertion Tester"
"td-default-alg","null","not testable with Assertion Tester"
"td-default-contentType","null","not testable with Assertion Tester"
"td-default-flow","null","not testable with Assertion Tester"
"td-default-format","null","not testable with Assertion Tester"
"td-default-idempotent","null","not testable with Assertion Tester"
"td-default-in-1","null","not testable with Assertion Tester"
"td-default-in-2","null","not testable with Assertion Tester"
"td-default-observable","null","not testable with Assertion Tester"
"td-default-qop","null","not testable with Assertion Tester"
"td-default-readOnly","null","not testable with Assertion Tester"
"td-default-safe","null","not testable with Assertion Tester"
"td-default-writeOnly","null","not testable with Assertion Tester"
"td-events","pass",
"td-events_uniqueness","pass",
"td-form-protocolbindings","null","not testable with Assertion Tester"
"td-media-type","null","not testable with Assertion Tester"
"td-objects","fail","Error message can be seen in the children assertions"
"td-objects_securityDefinitions","fail",
"td-properties","pass",
"td-properties_uniqueness","pass",
"td-readOnly-observable-default","null","not testable with Assertion Tester"
"td-readOnly-observable-writeOnly-default","null","not testable with Assertion Tester"
"td-security-binding","null","not testable with Assertion Tester"
"td-security-mandatory","fail",
"td-security-no-extras","null","not testable with Assertion Tester"
"td-unique-identifiers","pass",
"td-vocab-name-1","fail",
"td-vocab-scheme","fail",
"td-vocab-security-1","fail",
"td-vocab-securityDefinitions","fail",
"td-vocabulary","fail","invalid TD"
